DJI,AAPL,NFLX,AMZN,TSLA,K,date
NA,75.087502,329.809998,1898.01001,86.052002,67.639999,2020-01-02
28634.90039,74.357498,325.899994,1874.969971,88.601997,68,2020-01-03
28703.40039,74.949997,335.829987,1902.880005,90.307999,67.940002,2020-01-06
28583.69922,74.597504,330.75,1906.859985,93.811996,68.809998,2020-01-07
28745.09961,75.797501,339.26001,1891.969971,98.428001,68.889999,2020-01-08
28956.90039,77.407501,335.660004,1901.050049,96.267998,69.139999,2020-01-09
28823.80078,77.582497,329.049988,1883.160034,95.629997,69.269997,2020-01-10
28907.09961,79.239998,338.920013,1891.300049,104.972,69.709999,2020-01-13
28939.69922,78.169998,338.690002,1869.439941,107.584,70,2020-01-14
29030.19922,77.834999,339.070007,1862.02002,103.699997,70.269997,2020-01-15
29297.59961,78.809998,338.619995,1877.939941,102.697998,70.739998,2020-01-16
29348.09961,79.682503,339.670013,1864.719971,102.099998,70.879997,2020-01-17
29196,79.142502,338.109985,1892,109.440002,70.599998,2020-01-21
29186.30078,79.425003,326,1887.459961,113.912003,70.260002,2020-01-22
29160.09961,79.807503,349.600006,1884.579956,114.440002,70.440002,2020-01-23
28989.69922,79.577499,353.160004,1861.640015,112.963997,69.339996,2020-01-24
28535.80078,77.237503,342.880005,1828.339966,111.603996,69.029999,2020-01-27
28722.80078,79.422501,348.519989,1853.25,113.379997,68.980003,2020-01-28
28734.40039,81.084999,343.160004,1858,116.197998,68.43,2020-01-29
28859.40039,80.967499,347.73999,1870.680054,128.162003,68.879997,2020-01-30
28256,77.377502,345.089996,2008.719971,130.113998,68.209999,2020-01-31
28399.80078,77.165001,358,2004.199951,156,68.839996,2020-02-03
28807.59961,79.712502,369.01001,2049.669922,177.412003,68.68,2020-02-04
29290.90039,80.362503,369.670013,2039.869995,146.940002,69.360001,2020-02-05
29379.80078,81.302498,366.950012,2050.22998,149.792007,63.459999,2020-02-06
29102.5,80.0075,366.769989,2079.280029,149.613998,64.169998,2020-02-07
29276.80078,80.387497,371.070007,2133.909912,154.255997,65.339996,2020-02-10
29276.30078,79.902496,373.690002,2150.800049,154.876007,66.269997,2020-02-11
29551.40039,81.800003,380.01001,2160,153.457993,66.18,2020-02-12
29423.30078,81.217499,381.399994,2149.870117,160.800003,67.139999,2020-02-13
29398.09961,81.237503,380.399994,2134.870117,160.005997,67.709999,2020-02-14
29232.19922,79.75,387.779999,2155.669922,171.679993,67.150002,2020-02-18
29348,80.904999,386.190002,2170.219971,183.483994,66.300003,2020-02-19
29220,80.074997,386,2153.100098,179.882004,65.669998,2020-02-20
28992.40039,78.262497,380.070007,2095.969971,180.199997,65.519997,2020-02-21
27960.80078,74.544998,368.700012,2009.290039,166.757996,64.5,2020-02-24
27081.40039,72.019997,360.089996,1972.73999,159.981995,63.389999,2020-02-25
26957.59961,73.162498,379.23999,1979.589966,155.759995,62.77,2020-02-26
25766.59961,68.379997,371.709991,1884.300049,135.800003,61.02,2020-02-27
25409.40039,68.339996,369.029999,1883.75,133.598007,60.470001,2020-02-28
26703.30078,74.702499,381.049988,1953.949951,148.723999,63.139999,2020-03-02
25917.40039,72.330002,368.769989,1908.98999,149.102005,62.650002,2020-03-03
27090.90039,75.684998,383.790009,1975.829956,149.899994,64.550003,2020-03-04
26121.30078,73.230003,372.779999,1924.030029,144.908005,63.66,2020-03-05
25864.80078,72.2575,368.970001,1901.089966,140.695999,63.189999,2020-03-06
23851,66.542503,346.48999,1800.609985,121.599998,62.41,2020-03-09
25018.19922,71.334999,364.130005,1891.819946,129.065994,62.889999,2020-03-10
23553.19922,68.857498,349.920013,1820.859985,126.846001,61.689999,2020-03-11
21200.59961,62.057499,315.25,1676.609985,112.110001,58.189999,2020-03-12
23185.59961,69.4925,336.299988,1785,109.323997,63.66,2020-03-13
20188.5,60.552502,298.839996,1689.150024,89.014,62.560001,2020-03-16
21237.40039,63.215,319.75,1807.839966,86.040001,69.220001,2020-03-17
19898.90039,61.6675,315.470001,1830,72.244003,68.959999,2020-03-18
20087.19922,61.195,332.029999,1880.930054,85.528,61.43,2020-03-19
19174,57.310001,332.829987,1846.089966,85.505997,55.810001,2020-03-20
18591.90039,56.092499,360.269989,1902.829956,86.858002,53.560001,2020-03-23
20704.90039,61.720001,357.320007,1940.099976,101,56.27,2020-03-24
21200.59961,61.380001,342.390015,1885.839966,107.849998,56.169998,2020-03-25
22552.19922,64.610001,362.98999,1955.48999,105.632004,58.759998,2020-03-26
21636.80078,61.935001,357.119995,1900.099976,102.872002,59.470001,2020-03-27
22327.5,63.702499,370.959991,1963.949951,100.426003,60.91,2020-03-30
21917.19922,63.572498,375.5,1949.719971,104.800003,59.990002,2020-03-31
20943.5,60.227501,364.079987,1907.699951,96.311996,61.09,2020-04-01
21413.40039,61.232498,370.079987,1918.829956,90.893997,61.32,2020-04-02
21052.5,60.352501,361.76001,1906.589966,96.001999,63.580002,2020-04-03
22680,65.6175,379.959991,1997.589966,103.248001,63.509998,2020-04-06
22653.90039,64.857498,372.279999,2011.599976,109.089996,62.549999,2020-04-07
23433.59961,66.517502,371.119995,2043,109.767998,61.459999,2020-04-08
23719.40039,66.997498,370.720001,2042.76001,114.599998,62.740002,2020-04-09
23390.80078,68.3125,396.720001,2168.870117,130.190002,62.799999,2020-04-13
23949.80078,71.762497,413.549988,2283.320068,141.977997,63.619999,2020-04-14
